algorithm,hit_rate,jfi,angle_degrees,traffic_type,num_servers,capacity,num_requests,run_id,skew_fraction,skew_mode,exclude_top_k,workload_mode
qlearning_balancer[qlearn],0.0289,0.9995690037405649,1.1895715922034749,irm,2,30,10000,12,0.0,index,30,uniform
qlearning_balancer[lru],0.0312,0.9995237144568737,1.2505204920612194,irm,2,30,10000,12,0.0,index,30,uniform
qlearning_balancer[oracle],0.0372,0.9999858734658457,0.2153483094864223,irm,2,30,10000,12,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9979276203352802,2.609200249748632,irm,2,30,10000,12,0.0,index,30,uniform
Optimal_QLRU,0.0335,0.9999074189779042,0.5513029538610222,irm,2,30,10000,15,0.0,index,30,uniform
qlearning_balancer[qlearn],0.0225,0.9997823154644668,0.8453804085726081,irm,2,30,10000,15,0.0,index,30,uniform
qlearning_balancer[lru],0.0286,0.9998503011706295,0.7010397933663504,irm,2,30,10000,15,0.0,index,30,uniform
qlearning_balancer[oracle],0.0315,0.9997236492437215,0.952517505814831,irm,2,30,10000,15,0.0,index,30,uniform
qlearning_balancer[nocache],0.0,0.9992267612860317,1.5934388885281594,irm,2,30,10000,15,0.0,index,30,uniform
Optimal_QLRU,0.0613,0.9998796160668262,0.6286596851579659,irm,2,30,10000,16,0.0,index,30,uniform
